Posição,País,Ouro,Prata,Bronze,Total,Peso_Total
1,Estados Unidos,40,44,42,126,250
2,China,40,27,24,91,198
3,França,16,26,22,62,122
4,Grã-Bretanha,14,22,27,65,113
5,Austrália,18,19,16,53,108
6,Japão,20,12,13,45,97
7,Itália,12,13,15,40,77
8,Holanda,15,7,12,34,71
9,Alemanha,12,13,8,33,70
10,Coreia do Sul,13,9,10,32,67
11,Canadá,9,7,11,27,52
12,Nova Zelândia,10,7,3,20,47
13,Hungria,6,7,6,19,38
14,Brasil,3,7,10,20,33
15,Espanha,5,4,9,18,32
16,Uzbequistão,8,2,3,13,31
17,Irã,3,6,3,12,24
18,Suécia,4,4,3,11,23
19,Ucrânia,3,5,4,12,23
20,Quênia,4,2,5,11,21
21,Romênia,3,4,2,9,19
22,Noruega,4,1,3,8,17
23,Bélgica,3,1,6,10,17
24,Geórgia,3,3,1,7,16
25,Polônia,1,4,5,10,16
26,Irlanda,4,0,3,7,15
27,Dinamarca,2,2,5,9,15
28,Bulgária,3,1,3,7,14
29,Israel,1,5,1,7,14
30,Azerbaijão,2,2,3,7,13
30,Croácia,2,2,3,7,13
31,Cuba,2,1,5,8,13
32,Sérvia,3,1,1,5,12
33,Cazaquistão,1,3,3,7,12
34,Suíça,1,2,5,8,12
35,República Tcheca,3,0,2,5,11
36,Taiwan,2,0,5,7,11
37,África do Sul,1,3,2,6,11
37,Jamaica,1,3,2,6,11
37,Tailândia,1,3,2,6,11
38,Grécia,1,1,6,8,11
39,Turquia,0,3,5,8,11
40,Atletas Neutros (Rússia e Belarus),1,3,1,5,10
41,Bahrein,2,1,1,4,9
42,Áustria,2,0,3,5,9
43,Etiópia,1,3,0,4,9
44,Equador,1,2,2,5,9
45,Eslovênia,2,1,0,3,8
46,Filipinas,2,0,2,4,8
46,Hong Kong,2,0,2,4,8
47,Portugal,1,2,1,4,8
48,México,0,3,2,5,8
49,Coreia do Norte,0,2,4,6,8
49,Quirguistão,0,2,4,6,8
50,Argélia,2,0,1,3,7
50,Indonésia,2,0,1,3,7
51,Armênia,0,3,1,4,7
51,Colômbia,0,3,1,4,7
52,Índia,0,1,5,6,7
53,Argentina,1,1,1,3,6
53,Egito,1,1,1,3,6
53,Tunísia,1,1,1,3,6
54,Lituânia,0,2,2,4,6
55,Botswana,1,1,0,2,5
55,Chile,1,1,0,2,5
55,Santa Lúcia,1,1,0,2,5
55,Uganda,1,1,0,2,5
56,República Dominicana,1,0,2,3,5
57,Moldávia,0,1,3,4,5
58,Guatemala,1,0,1,2,4
58,Marrocos,1,0,1,2,4
59,Dominica,1,0,0,1,3
59,Paquistão,1,0,0,1,3
60,Kosovo,0,1,1,2,3
61,Tajiquistão,0,0,3,3,3
62,Chipre,0,1,0,1,2
62,Fiji,0,1,0,1,2
62,Jordânia,0,1,0,1,2
62,Mongólia,0,1,0,1,2
62,Panamá,0,1,0,1,2
63,Albânia,0,0,2,2,2
63,Granada,0,0,2,2,2
63,Malásia,0,0,2,2,2
63,Porto Rico,0,0,2,2,2
64,Cabo Verde,0,0,1,1,1
64,Catar,0,0,1,1,1
64,Costa do Marfim,0,0,1,1,1
64,Eslováquia,0,0,1,1,1
64,Peru,0,0,1,1,1
64,Singapura,0,0,1,1,1
64,Time dos Refugiados,0,0,1,1,1
64,Zâmbia,0,0,1,1,1
65,Afeganistão,0,0,0,0,0
65,Andorra,0,0,0,0,0
65,Angola,0,0,0,0,0
65,Antígua e Barbuda,0,0,0,0,0
65,Arábia Saudita,0,0,0,0,0
65,Aruba,0,0,0,0,0
65,Bahamas,0,0,0,0,0
65,Bangladesh,0,0,0,0,0
65,Barbados,0,0,0,0,0
65,Belize,0,0,0,0,0
65,Benim,0,0,0,0,0
65,Bermudas,0,0,0,0,0
65,Bolívia,0,0,0,0,0
65,Bósnia e Herzegovina,0,0,0,0,0
65,Brunei,0,0,0,0,0
65,Burkina Faso,0,0,0,0,0
65,Burundi,0,0,0,0,0
65,Butão,0,0,0,0,0
65,Camarões,0,0,0,0,0
65,Camboja,0,0,0,0,0
65,Chade,0,0,0,0,0
65,Comores,0,0,0,0,0
65,Congo,0,0,0,0,0
65,Costa Rica,0,0,0,0,0
65,Djibouti,0,0,0,0,0
65,El Salvador,0,0,0,0,0
65,Emirados Árabes Unidos,0,0,0,0,0
65,Eritreia,0,0,0,0,0
65,Essuatíni,0,0,0,0,0
65,Estados Federados da Micronésia,0,0,0,0,0
65,Estônia,0,0,0,0,0
65,Finlândia,0,0,0,0,0
65,Gabão,0,0,0,0,0
65,Gâmbia,0,0,0,0,0
65,Gana,0,0,0,0,0
65,Guam,0,0,0,0,0
65,Guiana,0,0,0,0,0
65,Guiné,0,0,0,0,0
65,Guiné Equatorial,0,0,0,0,0
65,Guiné-Bissau,0,0,0,0,0
65,Haiti,0,0,0,0,0
65,Honduras,0,0,0,0,0
65,Iêmen,0,0,0,0,0
65,Ilhas Cayman,0,0,0,0,0
65,Ilhas Cook,0,0,0,0,0
65,Ilhas Marshall,0,0,0,0,0
65,Ilhas Salomão,0,0,0,0,0
65,Ilhas Virgens Americanas,0,0,0,0,0
65,Ilhas Virgens Britânicas,0,0,0,0,0
65,Iraque,0,0,0,0,0
65,Islândia,0,0,0,0,0
65,Kiribati,0,0,0,0,0
65,Kuwait,0,0,0,0,0
65,Laos,0,0,0,0,0
65,Lesoto,0,0,0,0,0
65,Letônia,0,0,0,0,0
65,Líbano,0,0,0,0,0
65,Libéria,0,0,0,0,0
65,Líbia,0,0,0,0,0
65,Liechtenstein,0,0,0,0,0
65,Luxemburgo,0,0,0,0,0
65,Macedônia do Norte,0,0,0,0,0
65,Madagascar,0,0,0,0,0
65,Malawi,0,0,0,0,0
65,Maldivas,0,0,0,0,0
65,Mali,0,0,0,0,0
65,Malta,0,0,0,0,0
65,Maurício,0,0,0,0,0
65,Mauritânia,0,0,0,0,0
65,Mianmar,0,0,0,0,0
65,Moçambique,0,0,0,0,0
65,Mônaco,0,0,0,0,0
65,Montenegro,0,0,0,0,0
65,Namíbia,0,0,0,0,0
65,Nauru,0,0,0,0,0
65,Nepal,0,0,0,0,0
65,Nicarágua,0,0,0,0,0
65,Níger,0,0,0,0,0
65,Nigéria,0,0,0,0,0
